playerId,Age,Sex,Country of birth,Ethnicity simplified
GEwKu8fxgYxA2CE7x,46,Female,United States,White
kS3ZuehqRYQaatj7X,40,Male,Latvia,White
d7QvkA8PceMoQcnYF,29,Female,Estonia,White
yerbgPdoxYmef2g9C,59,Female,United Kingdom,White
N2RXRFHQ2rhtDakGM,33,Female,United Kingdom,White
cTg9Hn6YHgnCc95Pp,38,Male,France,White
hh4qJjYdwZYPEHeH8,37,Female,United Kingdom,White
wrfmh8v8Ndz7y92Zi,29,Male,United Kingdom,White
27i4qdReBcXw8YuEi,41,Female,Italy,White
fKAj3eX6QZyZhZaQX,25,Male,United Kingdom,White
tH64wBxa8PTJXp898,59,Male,United Kingdom,White
6G7Mori9G4LFJsArQ,40,Male,United Kingdom,White
tchBBCWaoktNqcDJQ,37,Male,United Kingdom,White
msdLxvzuFuBEfwHNP,56,Male,United Kingdom,White
BxNfwbHaC9D97He8r,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
83SwbhmvKbnkpGeok,40,Female,Poland,White
A7xu5DSWfjo8c3FBA,36,Male,United Kingdom,White
otzGMAMYTaNM4DdPn,36,Female,United States,White
Ypev43WHEFDqHzLbZ,30,Male,Greece,Mixed
iqQMMWSpQpuKtpqzp,32,Female,South Africa,Black
dvG3gFW885sFMo5fm,26,Male,Poland,White
hfnZYnFrK2htSh7Fq,23,Female,United Kingdom,White
uySJDtSAH7NTwzChc,35,Female,United Kingdom,White
wsZzoe3S4epTeQauL,32,Male,Poland,White
TPPSGrBR4EcTzdYCc,32,Male,Belgium,White
LrdehovdoeNoYXHvL,29,Male,South Africa,Black
Abfu89CDogfCDRrdD,35,Male,United Kingdom,White
kk82Zwq8qB3EPZDqz,32,Male,Estonia,White
bKhnRtYLu5DDWuY49,57,Female,United Kingdom,White
bFMXvE5mC7tDsHNxi,43,Male,United Kingdom,White
eJa4tvNxhZPMHStH6,22,Female,Italy,White
ttDSiPLpEcCMkfJCN,34,Male,Portugal,White
QT7mxdnWgS9W97t2H,31,Female,Greece,White
FW8pE9hEfsqWL6XYY,28,Female,Greece,White
2ghfK9aHNeDGySQ3u,27,Male,Uruguay,White
4pmMPmcSFQvdQzcsy,23,Female,Italy,White
F5Zg4XCNFq6n2cbMK,34,Male,United States,White
Scejxx5jwQ4pGjsdH,54,Male,United Kingdom,Asian
sxpHgkezZ7Az2shHq,45,Male,Greece,White
QEkygPKFDHX8dTovL,22,Male,Poland,White
jbpaPgCaMgYkRWEao,34,Male,Italy,White
DP5G3nnkvBYBp9piW,33,Male,Greece,White
KRjcZ7HM83rHBHa2z,42,Male,Italy,White
p9Pc7iimdmsm2sGzM,32,Male,United Kingdom,White
E9LzmpdHM6iSvi34h,44,Female,United Kingdom,White
BaisKwodTw2aofXty,24,Male,India,Asian
MDfLeY4zbfLsLWT97,33,Female,Italy,White
BjirnYWmbJDoF5MZC,36,Female,Portugal,White
XQeKZ56cpS9nyygnL,26,Male,Lebanon,White
TncHr8XzgrSsm9bhr,35,Female,Spain,White
chzK9whS4YsmcwD3y,47,Male,United Kingdom,White
DnRxFjmcg9Q45hrqJ,25,Male,South Africa,Mixed
rRaFaEeBvfwz5YYyz,53,Female,United Kingdom,White
i9c86bTZtwmiy2QrN,26,Female,Brazil,White
5LACqtjfXnavP6M8A,37,Female,Zimbabwe,Black
iJQmXH2QMqKPp6wyu,30,Female,Zimbabwe,Black
GCi8ZTfP7pjNh3ygF,25,Female,South Africa,Black
2j73t2yQ64ngLzJyz,41,Male,Canada,Asian
k75ryzJLnpnjcyWMZ,30,Female,South Africa,Black
t3QxQ6jXii72iYCJs,25,Female,South Africa,Black
h633xXHHiPR8zvQez,30,Female,United States,White
6j4uzW8HNrFcpQSNA,23,Female,South Africa,Asian
KQ3vR5FMgLmQFvHYY,32,Male,United Kingdom,Asian
8R3xo4bmDcubEZPpt,28,Male,South Africa,Black
e8B4926naEsCfjs38,24,Male,South Africa,Black
i37oYBN2MWCukq7eP,29,Female,Zimbabwe,Black
gDDqZ4APaFDnAPkBM,45,Male,Portugal,White
v3nJGaFTLZeP9a8Wf,50,Female,United Kingdom,White
inGrj4rs6YNvqvAPb,32,Male,Germany,White
m7jzbNcshmJ7ZZEwp,37,Male,Netherlands,White
LEGhKb3RP6EcgEKvX,45,Female,Australia,White
At2dQJ4sv55MyXDs7,49,Male,United Kingdom,White
iTsSFZydAxMNk4H5X,26,Female,South Africa,Mixed
dS8fhk2ffh2AxcPK7,24,Female,South Africa,Black
jtCkRhCfghMB4pSKc,50,Male,Hungary,White
nhHityYuFwTypnDnG,40,Male,Romania,White
yCHzWTjvx5F5HfJwd,38,Male,Austria,White
d8jhtd87Z3xEpYsby,34,Female,France,White
u4HsniGxweJKnaE3J,19,Female,South Africa,Black
gBos5wbJNi362wqKs,27,Female,South Africa,Black
r8A8dnypXvzzDjC9A,31,Male,Portugal,White
RnGhGAoxgGGCzXdNR,28,Female,Greece,Mixed
5fZ9mbFkp2dCyZLvL,54,Male,United Kingdom,White
wRYnMSayjZKRGqRqt,37,Male,Germany,White
E8tbZMXRJqzfWgsZ8,45,Female,South Africa,Black
GwdKonwx45xH4bGJo,54,Male,United Kingdom,White
e2HLhZS6gLCXmvMMW,54,Male,United Kingdom,White
4RkttSpAP5oejHxwQ,30,Male,Portugal,White
mFsazycX7sAsp9h25,48,Female,Switzerland,White
6Ru8t52bsqgyANH78,20,Female,Slovakia,White
3AgtjHpxyrgstBNMZ,21,Male,Croatia,White
vXitrhFTWWXoGhLQS,30,Male,Australia,Asian
3W6oYvY9BWQChF64y,34,Male,Greece,White
XegK3ZL8buDE4txYG,37,Female,Canada,White
svtP9WMjEcd9CBpsP,29,Male,United Kingdom,Mixed
n9aaRzPoqbYJ6PBxf,21,Male,India,Asian
YhxDftyhYzoMQY8bk,19,Male,Romania,White
CnADLvFo8fkyBJZkC,38,Male,Germany,White
XH98XuvMaGixN3eSp,27,Male,Kenya,Black
3MJxZfkZpopGgv6Xd,33,Male,India,Asian
WcpFWD3sn2dnt7ruN,36,Male,Denmark,White
Xs8SR4fz3z2r8oZMn,42,Male,Canada,White
YNKzunS5xPmBze6ea,45,Female,"Venezuela, Bolivarian Republic of",Other
bpNrvkZN8ogijjA5K,46,Male,United Kingdom,White
wkP56uZ6uxtoZWvEx,24,Male,Greece,White
QwxrtX6nKnEXWhPim,27,Male,Turkey,Other
KrMKd9t6wHWcie5KY,47,Female,South Africa,Asian
ipDaioMcYw6HwWoxW,46,Male,India,Asian
LpjrYMB38ej53iybS,22,Female,South Africa,Black
53Gh5MSB7kKWYXdcA,24,Male,Kenya,Black
qc9nsRDra6Y5AbpGC,39,Male,Slovenia,White
a9hGmsRsdt7ZJAeQk,37,Female,Canada,White
NtML36DS3EbbMyQme,24,Female,Kenya,Black
iYTgW5T333CWcsfmh,23,Male,Kenya,Black
MBh52GAaDc7XcK7fu,25,Male,South Africa,Black
MozhHaQ4szyqQu5eq,26,Male,South Africa,Black
v3C8m3hrGBFw7C6yR,27,Female,Philippines,Asian
akWAen38quSK7Kg4j,20,Male,Poland,White
QiAFXTGpSRyku26si,27,Female,South Africa,White
ggHn6ddbqYBsqqpj7,36,Female,United Kingdom,White
ZbKdYEBcyQRYYRZRd,28,Male,Kenya,Black
fayFWbzNk3iNFoczM,22,Female,South Africa,Black
Zy9TbjSysyttPJkfj,46,Female,Germany,White
hFnRGnnbkqJCyPjhF,22,Female,Croatia,White
bPrEvXrQaX2WdGYNX,25,Female,South Africa,Black
9NZPdsRHMfTffJ86Z,34,Male,Spain,White
xwzqYG2ZvEjx6mhJ5,33,Male,South Africa,Black
ixhJYtMzcxshRLyCH,38,Male,South Africa,Black
n3NfFKtoPnhZpasBC,32,Female,South Africa,White
WqjyipyHYQTFDgpma,30,Male,Italy,White
gpreusFXTLjCquosK,24,Male,South Africa,Black
RFCGABXPtqyCd98Tm,24,Female,South Africa,Black
fzK7Pj4iAgfbRSwx8,29,Male,Poland,White
AiXyxQy82SP82Mz9s,47,Female,South Africa,Asian
ig8TppDhAgvNhrq3a,21,Female,South Africa,Mixed
DjKevFkBso4yTMWR8,34,Male,Zimbabwe,Black
AhfubTP2TdW5Wm9Tw,39,Male,France,Mixed
QphCK7XfX4oCrjvww,33,Male,Poland,White
aYxN6zfrwbrLBL32W,21,Male,South Africa,Mixed
dxHfjoTs2oJTk77Mt,40,Female,China,Asian
Q33ZkhGogK54Yiad6,42,Female,Zimbabwe,Black
uo7uXGZ3yDjDijhvn,21,Male,Spain,White
hibiX8TGatbBx887A,47,Male,United Kingdom,Asian
nofYosxEPLN62DENK,33,Male,Italy,White
N5ZHcAxKkpfLMLkK2,36,Male,United Kingdom,White
dKpMaCJygWrdB5TKJ,53,Female,South Africa,White
YWYrb3pQagdr9GHZy,24,Female,Slovenia,White
Suf75kfKvqyAqe5a5,26,Male,Hungary,White
mtSNnmY4epZtXbxjF,51,Male,United Kingdom,White
nzAZFfjoyKnjRsrFS,27,Female,India,Asian
D5gA3jaFXLPFZTGqd,29,Female,South Africa,Black
jtSCTzq2BSCnhLpJm,33,Female,Portugal,White
RAnPiw2wuw8cPAnZM,19,Female,South Africa,Black
ejSnuLvqgFkRBorH5,47,Female,Zimbabwe,Black
Tomg5iun2wXdEtrGb,20,Male,South Africa,Mixed
up72PaREeYvSt8NGC,24,Male,Poland,White
Q9yqtaGi2EPt3hwfa,27,Female,South Africa,Black
85QnxjnxoDBHR56h9,28,Female,Poland,White
M85ajvswFgHgYCgpD,36,Male,United Kingdom,White
YcSSS9cB9GAyueBcA,22,Male,United Kingdom,Asian
tHGcfndE9oTaQrbZo,27,Male,South Africa,Black
NFBuuZTCH8LQ2kWCB,21,Male,United Kingdom,Black
rCALFNNX4fFAWXKF4,28,Male,Portugal,White
nCh2LGBiZh9Zbacqh,31,Female,Spain,White
B93AwGvKW9caWEvmu,35,Male,South Africa,White
Ea7HtzzgbTJQYT5Fj,19,Female,South Africa,Black
iZfaFMuMSyvAddwBS,49,Female,United Kingdom,White
f2FdHBZDr8q5bibLi,28,Female,South Africa,White
MXMDFz7DphghwASKG,20,Male,Morocco,Black
KsdrRF8ja8FFhws5f,29,Female,South Africa,Black
uf3savX4JPbojL3W4,27,Female,South Africa,Black
feAs2YDsezGm7Y4tB,20,Male,South Africa,Black
WPFaEtA7nyZHg4Y47,30,Male,Canada,White
KyRPNfTRmBvPMrHqq,21,Female,South Africa,Black
G4WM9iR3ErZ7APDvS,20,Male,South Africa,Black
zgoFBo6m4D8jZDPFE,38,Female,United Kingdom,White
dWKqjzJQddLdGTCjg,26,Female,Kenya,Black
3dbsqfSprGiQhZaLf,37,Female,Philippines,Asian
wG6QjNWp5mYqNWuBF,41,Male,South Africa,Black
n3MHhgEbesYtmt2kn,20,Male,United States,Black
NdwuaTz3c455EDcMR,27,Female,South Africa,Black
vqYFpsi2erDcHcAvs,18,Female,Hong Kong,Asian
Dbtfi7wLjginpt97g,39,Male,Nigeria,Black
