Status,Time taken,Total approvals,Age,Sex,Ethnicity simplified
APPROVED,1659,89,27,Male,Other
APPROVED,2362,65,53,Female,White
APPROVED,3487,76,27,Female,Black
APPROVED,1406,107,27,Female,Asian
APPROVED,2101,35,28,Female,White
APPROVED,1787,845,32,Male,White
APPROVED,2436,65,20,Male,Black
APPROVED,2805,519,50,Male,White
APPROVED,1627,2009,33,Female,White
APPROVED,1494,344,34,Male,White
APPROVED,1322,1318,35,Female,White
APPROVED,2704,29,27,Male,Black
APPROVED,3750,136,49,Female,White
APPROVED,3442,240,28,Male,Black
APPROVED,2864,15,39,Male,Black
APPROVED,2028,117,24,Female,Black
APPROVED,3561,57,33,Female,White
APPROVED,3510,390,32,Male,White
APPROVED,4164,88,21,Male,Mixed
APPROVED,2500,2339,53,Female,White
APPROVED,2021,289,22,Female,White
APPROVED,2784,139,21,Male,Asian
APPROVED,2893,868,37,Female,Black
APPROVED,1882,80,29,Male,White
APPROVED,1604,3183,35,Male,White
APPROVED,2538,2514,47,Male,White
APPROVED,2644,12,29,Female,Black
APPROVED,1718,88,38,Female,White
APPROVED,2498,332,38,Male,White
APPROVED,2067,1656,24,Male,Asian
APPROVED,1932,475,42,Male,White
APPROVED,1872,252,37,Female,White
APPROVED,3796,4,25,Male,Black
APPROVED,1805,2354,29,Male,White
APPROVED,2226,194,40,Female,Asian
APPROVED,4973,2649,32,Male,Asian
APPROVED,1330,832,26,Male,White
APPROVED,2957,12,20,Male,Black
APPROVED,1475,405,46,Male,White
APPROVED,1278,539,29,Male,Mixed
APPROVED,3024,234,36,Female,White
APPROVED,1652,585,46,Female,White
APPROVED,3001,37,29,Female,Black
APPROVED,2195,379,34,Female,White
APPROVED,2710,75,24,Male,Black
APPROVED,1671,786,23,Female,White
APPROVED,2440,79,30,Male,White
APPROVED,2117,2597,38,Male,White
APPROVED,1718,197,31,Male,White
APPROVED,1810,759,41,Female,White
APPROVED,2762,669,54,Male,White
APPROVED,1996,162,33,Male,Asian
APPROVED,1958,53,28,Male,White
APPROVED,1702,2414,57,Female,White
APPROVED,4926,3285,54,Male,Asian
APPROVED,4896,30,27,Male,Black
APPROVED,1918,244,51,Male,White
APPROVED,3300,32,20,Male,Black
APPROVED,1737,165,23,Female,Asian
APPROVED,3751,78,37,Female,Asian
APPROVED,3912,81,47,Female,Asian
APPROVED,2616,78,38,Male,Black
APPROVED,2467,669,33,Male,White
APPROVED,2641,686,37,Male,White
APPROVED,1221,2358,40,Male,White
APPROVED,2178,416,30,Male,Asian
APPROVED,1782,245,36,Male,White
APPROVED,4184,29,20,Male,Mixed
APPROVED,2377,135,21,Male,White
APPROVED,2750,202,22,Male,Asian
APPROVED,2130,170,20,Female,White
APPROVED,2875,54,26,Male,Black
APPROVED,2223,475,40,Male,White
APPROVED,2139,799,45,Female,White
APPROVED,3757,934,40,Female,White
APPROVED,4569,45,25,Female,Black
APPROVED,2644,261,48,Female,White
APPROVED,1415,1199,32,Male,White
APPROVED,2601,20,20,Male,Black
APPROVED,4933,14,41,Male,Black
APPROVED,2385,68,21,Female,Mixed
APPROVED,2682,33,26,Female,Black
APPROVED,1996,203,39,Male,Mixed
APPROVED,3344,338,38,Male,White
APPROVED,2343,170,45,Female,Other
APPROVED,1672,14,21,Male,White
APPROVED,1619,862,34,Male,White
APPROVED,2489,11,27,Female,Black
APPROVED,3154,54,28,Female,White
APPROVED,1878,104,31,Female,White
APPROVED,1531,259,22,Male,White
APPROVED,3300,112,33,Male,White
APPROVED,3902,38,27,Female,Black
APPROVED,2043,1073,42,Male,White
APPROVED,2314,57,24,Male,Black
APPROVED,4903,136,24,Female,Black
APPROVED,2715,72,47,Female,Black
APPROVED,2646,85,33,Male,Black
APPROVED,2972,135,19,Female,Black
APPROVED,1434,80,19,Male,White
APPROVED,2685,36,19,Female,Black
APPROVED,1599,1750,36,Female,White
APPROVED,4870,26,24,Male,White
APPROVED,1969,2054,44,Female,White
APPROVED,1983,130,30,Male,White
APPROVED,1680,39,24,Female,White
APPROVED,2040,3357,59,Male,White
APPROVED,1612,1313,41,Male,Asian
APPROVED,2040,95,27,Female,Asian
APPROVED,2040,678,26,Male,White
APPROVED,2066,5941,36,Female,White
APPROVED,1302,92,20,Male,White
APPROVED,1719,655,34,Male,White
APPROVED,2345,199,40,Male,White
APPROVED,2542,2818,56,Male,White
APPROVED,3537,83,30,Male,White
APPROVED,2387,1987,49,Male,White
APPROVED,1724,143,27,Male,White
APPROVED,1677,4843,35,Female,White
APPROVED,2981,72,27,Female,White
APPROVED,3297,1954,33,Female,White
APPROVED,2042,74,32,Female,White
APPROVED,3361,136,21,Male,Black
APPROVED,1588,390,26,Female,White
APPROVED,2224,862,29,Male,Black
APPROVED,1438,2370,37,Female,White
APPROVED,2073,5049,30,Female,White
APPROVED,3013,2998,59,Female,White
APPROVED,1652,1968,50,Female,White
APPROVED,2147,159,37,Female,White
APPROVED,1310,4,18,Female,Asian
APPROVED,2169,120,47,Female,Asian
APPROVED,3945,66,42,Female,Black
APPROVED,2370,193,45,Female,Black
APPROVED,4344,23,21,Female,Black
APPROVED,3303,53,22,Female,Black
APPROVED,2369,372,28,Female,White
APPROVED,4642,673,29,Female,Black
APPROVED,2130,56,22,Female,Black
APPROVED,2516,216,27,Female,Black
APPROVED,1845,28,19,Female,Black
APPROVED,2702,618,30,Female,Black
APPROVED,5835,16,32,Female,Black
APPROVED,1868,73,26,Female,Mixed
APPROVED,4138,280,25,Female,Black
APPROVED,2628,95,34,Male,Black
APPROVED,2469,496,30,Male,Mixed
APPROVED,1981,152,28,Female,Mixed
APPROVED,2475,7,39,Male,White
APPROVED,1343,577,31,Female,White
APPROVED,2907,90,25,Female,Black
APPROVED,2875,524,37,Male,White
APPROVED,1567,565,45,Male,White
APPROVED,2405,77,23,Male,Black
APPROVED,3287,383,24,Male,Black
APPROVED,2229,263,25,Male,Mixed
APPROVED,1425,235,36,Male,White
APPROVED,4201,432,30,Female,Black
APPROVED,2888,1461,34,Male,White
APPROVED,2689,143,46,Male,Asian
APPROVED,1859,104,33,Male,White
APPROVED,2796,110,24,Male,White
APPROVED,1902,46,35,Male,White
APPROVED,1765,947,36,Male,White
APPROVED,1992,13,26,Male,White
APPROVED,1693,226,32,Male,White
APPROVED,2248,182,25,Male,White
APPROVED,1541,157,36,Male,White
APPROVED,2378,332,54,Male,White
APPROVED,2703,791,32,Male,White
APPROVED,2009,691,29,Female,White
APPROVED,2861,128,34,Male,White
APPROVED,2024,2776,23,Female,White
APPROVED,1955,1050,54,Male,White
APPROVED,2375,381,37,Male,White
APPROVED,2305,500,24,Female,Black
APPROVED,1683,5092,46,Female,White
APPROVED,3004,58,22,Female,White
APPROVED,1521,4066,43,Male,White
APPROVED,4098,38,28,Male,Black
APPROVED,2798,415,45,Male,White
APPROVED,2414,335,47,Male,Asian