"participant","envy","guilt","temp_game1","temp_game2","sensitivity_game1","sensitivity_game2","alpha_Q_game1","alpha_Q_game2","nll","aic","bic","best_k","approach"
"27i4qdReBcXw8YuEi",1.49885096870848,0.386517193364073,3.06322324230009,3.92800634931064,0.601425987288818,0.523249525393833,0.791997853349699,0.789105140036305,10.7294515855219,39.4589031710438,56.6671102198971,2,"hierarchical"
"2ghfK9aHNeDGySQ3u",1.28787288460281,0.185877863819956,3.9836629365445,4.0127250482148,0.495235603184715,0.547210529951745,0.904201430892346,0.867286300924936,12.6649890176496,43.3299780352992,59.9813064506897,2,"hierarchical"
"2j73t2yQ64ngLzJyz",0.01,0.435178253478377,4.14424747605411,4.16073046454647,0.536585541500391,0.568108603887821,0.958086411918795,0.967625592267085,15.9462572612077,49.8925145224154,67.1007215712687,2,"hierarchical"
"3AgtjHpxyrgstBNMZ",1.76071888719301,0.291925003691226,4.31344581561226,4.37992971157028,0.510969670520006,0.508500502856747,0.383603394225845,0.374877257799898,2.8551983719396,23.7103967438792,40.9186037927325,3,"hierarchical"
"3dbsqfSprGiQhZaLf",1.94996423778309,0.252820003894527,4.15342131848227,4.1463756771388,0.620641860736365,0.511616806696192,0.474300935334248,0.402821004625241,3.78141180851153,25.5628236170231,42.2141520324136,2,"hierarchical"
"3MJxZfkZpopGgv6Xd",1.96054199699736,0.399696413322214,4.77904965660855,4.79912385584246,0.509936576686068,0.523701486909469,0.959491063424828,0.978996909638019,13.4242510268226,44.8485020536452,61.8748847366409,3,"hierarchical"
"3W6oYvY9BWQChF64y",0.01,0.299400745401705,3.81386637819477,4.80459512836375,0.599334322856292,0.522636237878673,0.789242421152673,0.939768629789979,13.3421534846843,44.6843069693686,61.8925140182219,3,"hierarchical"
"4pmMPmcSFQvdQzcsy",1.87797977474152,0.238792557319088,4.40575573443908,4.6736837981729,0.576599854985038,0.617506147485779,0.946996264732292,0.974374646728799,13.836187482089,45.6723749641781,62.6987576471737,2,"hierarchical"
"4RkttSpAP5oejHxwQ",1.58205074973264,0.288979575336466,4.26701300988799,4.44228660687525,0.484940810069201,0.52404551532767,0.91720560719332,0.935725987840541,12.6485782239322,43.2971564478645,60.1379655460355,3,"hierarchical"
"53Gh5MSB7kKWYXdcA",1.7583225039234,0.546311428064116,4.09531566270542,4.60928017557917,0.566837671124447,0.513788185937674,0.915384487158022,0.861801568802651,11.9345062193067,41.8690124386133,58.8953951216089,2,"hierarchical"
"5fZ9mbFkp2dCyZLvL",1.31876622609092,0.31334425674839,4.60326093994,4.64056080939699,0.54403697015828,0.547569278039569,0.984162535830829,0.978067915501357,14.4215369315003,46.8430738630007,63.8694565459963,3,"hierarchical"
"5LACqtjfXnavP6M8A",1.99781505764489,0.39700088925749,4.44482413448097,4.60372185412726,0.537375257064198,0.53513756501213,0.902022578007861,0.941445723096838,12.2897867914383,42.5795735828766,58.4303746241187,3,"hierarchical"
"6G7Mori9G4LFJsArQ",1.99998042548827,0.136491308224893,2.81382366422421,1.90623153401041,0.392337223725169,0.57964207060476,0.785526448884932,0.560613458680745,10.0985720437007,38.1971440874013,55.0379531855723,1,"hierarchical"
"6j4uzW8HNrFcpQSNA",1.93482281926322,0.281365909854792,4.587198493198,4.51018358987938,0.514294287649057,0.502702050165539,0.955155623980619,0.958111899152504,13.5068379469566,45.0136758939131,61.8544849920841,2,"hierarchical"
"6Ru8t52bsqgyANH78",1.58194671662926,0.15578840436307,4.09774255818911,4.30236860540178,0.476479084521666,0.582037742973801,0.87968187675427,0.825061377667724,11.4933894566736,40.9867789133473,57.0444856186116,2,"hierarchical"
"83SwbhmvKbnkpGeok",1.9858413841053,0.396934044249121,4.57403694770491,4.53337637497253,0.452687639533245,0.555406165994387,0.895366435342416,0.765078683821749,9.92750456515557,37.8550091303111,54.6958182284822,3,"hierarchical"
"85QnxjnxoDBHR56h9",2.00000156372284,0.292726464803663,3.90449435607052,3.520629960243,0.549376017369897,0.532594463163053,0.668085525702018,0.624065751539785,7.04549696480907,32.0909939296181,48.54876649802,2,"hierarchical"
"8R3xo4bmDcubEZPpt",1.82957161265973,0.499882657514532,4.13415962522025,4.10966224084992,0.633864526621351,0.545376444637603,0.884003664692287,0.898697781654636,12.268924183412,42.537848366824,59.7460554156773,2,"hierarchical"
"9NZPdsRHMfTffJ86Z",1.31872640087275,0.32833212049207,3.88755137001332,3.91282843143353,0.602593676889792,0.57653631466164,0.826430352545053,0.957335552012096,12.5604762212671,43.1209524425342,60.3291594913875,2,"hierarchical"
"A7xu5DSWfjo8c3FBA",2.00646058221247,0.248183398579251,3.64959117988966,4.51274353111003,0.527388427351708,0.506449448248628,0.613013508827031,0.937410470523286,9.52140292914379,37.0428058582876,54.0691885412832,3,"hierarchical"
"a9hGmsRsdt7ZJAeQk",1.33992170248198,0.396646275000188,4.1548422654362,4.50408616776643,0.601932411824842,0.545192256112741,0.851259052393426,0.99,13.0800450054322,44.1600900108645,61.3682970597178,2,"hierarchical"
"Abfu89CDogfCDRrdD",1.09104721299557,0.380396978230514,4.67176971430403,3.96892958578086,0.498953868381589,0.523238170850728,0.940535180502597,0.958963088611803,13.793021921329,45.5860438426579,62.7942508915112,2,"hierarchical"
"AhfubTP2TdW5Wm9Tw",1.92323854449154,0.366277677307622,4.43073302813671,4.51202262113468,0.503790633750373,0.502190659948075,0.371664070432242,0.954764289722122,8.00622152230183,34.0124430446037,51.220650093457,3,"hierarchical"
"AiXyxQy82SP82Mz9s",0.418381699793412,0.36867408323022,3.88494892571292,3.61505529810523,0.507354916596162,0.51468978718072,0.844744286220226,0.757335472117813,11.4793938778079,40.9587877556158,57.9851704386114,2,"hierarchical"
"akWAen38quSK7Kg4j",1.96154222301015,0.354260564338455,4.54550614910877,4.63450007903685,0.510326343862463,0.497317350514431,0.957659618069209,0.917825236139001,12.7068619312311,43.4137238624621,60.0650522778526,3,"hierarchical"
"At2dQJ4sv55MyXDs7",1.90785751340502,0.325599223943972,4.15190432259358,4.70657573108142,0.514767791771197,0.549908542449151,0.901260963752871,0.915843354207822,11.9748902280915,41.9497804561831,58.4075530245849,3,"hierarchical"
"aYxN6zfrwbrLBL32W",1.89873280434015,0.222955707773585,4.22873211899119,4.32939796402684,0.694506392421224,0.537756148543593,0.937826707827693,0.944263873393715,13.7914006982752,45.5828013965504,62.609184079546,2,"hierarchical"
"B93AwGvKW9caWEvmu",0.588192437563302,0.598027077159713,3.85440822361739,3.11272693176549,0.6455976104955,0.564625253499556,0.842554679641787,0.760175846780296,11.7885207434216,41.5770414868431,58.7852485356965,2,"hierarchical"
"BaisKwodTw2aofXty",1.85516059575162,0.355029609386422,4.58949073626868,4.49000445053656,0.539325225486061,0.53368612127262,0.933001763586411,0.95803614548367,13.099858048823,44.1997160976459,60.8510445130365,3,"hierarchical"
"bFMXvE5mC7tDsHNxi",1.99999403136088,0.412151379059136,4.50335103407959,4.71103571879283,0.506477492477578,0.510756657540083,0.36620416141909,0.491535496890842,3.56365532063241,25.1273106412648,42.1536933242605,3,"hierarchical"
"BjirnYWmbJDoF5MZC",1.22141005959214,0.297128814342797,3.41924703733539,3.96040026666928,0.529796173368841,0.513665341212155,0.867961781604695,0.920970654090583,12.6933472318885,43.3866944637769,60.5949015126302,2,"hierarchical"
"bKhnRtYLu5DDWuY49",2.0083992769368,0.300838355260762,4.7680993071562,4.44106700384098,0.505693077510919,0.470776176589017,0.917751953723694,0.879225378931487,11.7496636153637,41.4993272307274,58.1506556461179,3,"hierarchical"
"bpNrvkZN8ogijjA5K",0.643020923989911,0.222297815889147,4.87866576191094,4.48871453300469,0.942954452327458,0.504665087917415,0.99,0.873992642075814,15.2704437731711,48.5408875463423,65.7490945951956,3,"hierarchical"
"bPrEvXrQaX2WdGYNX",1.99999504847304,0.420674723325476,4.36038622050805,4.01025180463074,0.462346983117126,0.582767841892732,0.83670853456293,0.86722335981568,10.8789399040421,39.7578798080843,56.2156523764861,2,"hierarchical"
"BxNfwbHaC9D97He8r",1.99992530559223,0.345035278653599,4.14667385661594,4.73067583483837,0.503087620388639,0.556141927158317,0.448160414118032,0.96210915123047,8.59424793403011,35.1884958680602,51.8398242834507,3,"hierarchical"
"chzK9whS4YsmcwD3y",1.99997679825234,0.44103233969614,4.10651081056384,4.24156005771695,0.503803958199071,0.339511712413699,0.848746612174847,0.914666049872546,11.8725217832396,41.7450435664792,58.5858526646502,3,"hierarchical"
"CnADLvFo8fkyBJZkC",0.16629357815455,0.437620095028371,4.52046080687771,4.30537320962274,0.585022130495778,0.55549354309545,0.99,0.919477442300963,15.3253890762589,48.6507781525178,65.8589852013711,2,"hierarchical"
"cTg9Hn6YHgnCc95Pp",1.18615808646505,0.36253165595846,5.81394211258297,4.3242034051985,0.570003405818097,0.506089699334075,0.503999613568524,0.382976634243447,6.18954188867964,30.3790837773593,47.5872908262126,3,"hierarchical"
"D5gA3jaFXLPFZTGqd",2.01121838290643,0.30042458549723,3.34169541137509,4.5753129891808,0.48912030938186,0.500393208847624,0.806252434480102,0.929347749822339,11.5753824418197,41.1507648836394,57.9915739818104,2,"hierarchical"
"d7QvkA8PceMoQcnYF",1.63122564956239,0.15941663941395,4.73972734139682,4.64135026440504,0.472278996622293,0.674348781022063,0.947295311133647,0.918230363993774,13.4227528583558,44.8455057167115,62.0537127655648,2,"hierarchical"
"d8jhtd87Z3xEpYsby",1.99975008574394,0.41278536566738,4.25421779203208,4.27599693282276,0.478406655968962,0.458133656721851,0.923266314166724,0.821015953926429,11.4641198014791,40.9282396029582,57.5795680183487,2,"hierarchical"
"Dbtfi7wLjginpt97g",0.764407378845239,0.321598672215276,4.45382056472299,4.35119971688748,0.540042632114685,0.532095261613857,0.981381724444532,0.984641712563872,15.1685653906564,48.3371307813129,65.3635134643085,2,"hierarchical"
"DjKevFkBso4yTMWR8",2.00219941193307,0.404904068311212,4.38489250651521,4.11568526423239,0.37873526818928,0.513460608700887,0.886302749554819,0.845564019107726,11.3268806835608,40.6537613671217,57.6801440501173,2,"hierarchical"
"dKpMaCJygWrdB5TKJ",1.99999584222956,0.36540940870785,4.55155487623938,4.60985001055228,0.506095310036726,0.504283544293587,0.360052859998697,0.351213123155851,2.38007682168329,22.7601536433666,39.9683606922199,3,"hierarchical"
"DnRxFjmcg9Q45hrqJ",1.39770305402054,0.404081057592603,4.48349553248838,3.9037919872853,0.504105397831896,0.536148900183911,0.929555892457851,0.427653736003311,8.59716855531354,35.1943371106271,52.0351462087981,2,"hierarchical"
"DP5G3nnkvBYBp9piW",2.09528015261919,0.277440975327465,4.27706291557644,4.16351576273319,0.512085388429768,0.796765931632558,0.387101367371524,0.962173538792599,9.10498847763897,36.2099769552779,53.4181840041312,3,"hierarchical"
"dS8fhk2ffh2AxcPK7",1.99051522072175,0.462581230029325,4.50511668352552,4.63857673012548,0.476382398767298,0.452019600982199,0.864071292232476,0.99,12.5298086903452,43.0596173806904,59.710945796081,3,"hierarchical"
"dvG3gFW885sFMo5fm",1.5549903763532,0.318260953712904,4.08103507394072,4.24570553309876,0.409226446200939,0.645299932161976,0.972770213930568,0.927248363173718,14.387245923609,46.7744918472179,63.8008745302136,3,"hierarchical"
"dWKqjzJQddLdGTCjg",1.32938861191931,0.228562668246119,4.44004707036652,4.2383883319125,0.538005665054099,0.537872538214723,0.971575260273479,0.910762608909008,13.7655259454336,45.5310518908673,62.1823803062578,2,"hierarchical"
"dxHfjoTs2oJTk77Mt",0.447074966268413,0.17722597869137,4.55902914654402,4.1451793540707,0.682263371946161,0.536155429112679,0.99,0.856543006844749,14.8317257469496,47.6634514938992,64.6898341768948,3,"hierarchical"
"e2HLhZS6gLCXmvMMW",0.647598652954757,0.266881452140797,4.10292990663437,4.42132930478011,0.574829551894445,0.560862479964437,0.922209169279711,0.850466211111536,13.0986683210752,44.1973366421505,61.0381457403215,2,"hierarchical"
"e8B4926naEsCfjs38",2.02656536953574,0.357764887988199,4.70691795963306,4.41822443662585,0.637307116442329,0.639025847668176,0.99,0.951602571428673,14.0084777679398,46.0169555358796,63.0433382188752,3,"hierarchical"
"E8tbZMXRJqzfWgsZ8",1.63402638520713,0.408558837543994,4.21375418684361,4.34249265054526,0.528386116043718,0.512727430992829,0.99,0.910635835646789,13.5741507140799,45.1483014281598,61.7996298435503,2,"hierarchical"
"E9LzmpdHM6iSvi34h",1.36252551453857,0.468072300965125,4.25268032977711,4.28739755346719,0.54237544906264,0.57448520879255,0.98388385305891,0.864840337960162,13.2478643957276,44.4957287914552,61.5221114744508,2,"hierarchical"
"Ea7HtzzgbTJQYT5Fj",1.99565459420328,0.278940186021401,4.62940152857123,4.57922838860479,0.511400582464623,0.507439883193832,0.865799503436437,0.3581310221198,7.24471217807187,32.4894243561438,49.6976314049971,3,"hierarchical"
"eJa4tvNxhZPMHStH6",1.97256160423196,0.312264233624308,4.65614112470403,4.18739859943877,0.543243350310828,0.573013594844383,0.949721167421923,0.915173971382464,12.7951610889703,43.5903221779407,60.4311312761117,3,"hierarchical"
"ejSnuLvqgFkRBorH5",1.95464661054283,0.254583555365642,4.41697255513039,4.11248791172711,0.533413547465905,0.510947338286047,0.902489323302108,0.913083075141641,12.3254376419372,42.6508752838744,59.302203699265,2,"hierarchical"
"f2FdHBZDr8q5bibLi",1.22239798357059,0.270589671731356,4.26945519093623,4.71668504981912,0.558134855777094,0.597207452699528,0.803051235309745,0.99,12.5391258699973,43.0782517399946,60.2864587888479,3,"hierarchical"
"F5Zg4XCNFq6n2cbMK",2.1931406362934,0.345902653237375,4.08538575079325,4.36576222601248,0.494710125316535,0.50852712703075,0.572782882797041,0.474491273135155,5.28435984605986,28.5687196921197,45.5951023751154,3,"hierarchical"
"fayFWbzNk3iNFoczM",2.01203864821704,0.290228095615219,4.35797939556539,3.8703766117256,0.481994853463337,0.487574498189775,0.912493160897033,0.867392247081944,12.1065354108348,42.2130708216696,59.2394535046652,2,"hierarchical"
"feAs2YDsezGm7Y4tB",1.99999674529608,0.364637665208693,4.64354595373499,4.52872668204935,0.505196831087489,0.506465963596159,0.351174269853138,0.365573982887049,2.35692584589377,22.7138516917875,39.7402343747832,3,"hierarchical"
"fKAj3eX6QZyZhZaQX",1.99885334271879,0.254946563827799,4.3886458361371,4.40757301755094,0.579501656682867,0.523324485463284,0.794336656377601,0.891186512263203,10.6601707032826,39.3203414065652,56.1611505047362,2,"hierarchical"
"FW8pE9hEfsqWL6XYY",2.00007210314344,0.36796837486687,4.68822822792628,4.70825880609767,0.534792471216949,0.515127360770187,0.951957625366019,0.929326947350947,12.6400305054905,43.2800610109811,59.9313894263716,3,"hierarchical"
"fzK7Pj4iAgfbRSwx8",1.7899339195286,0.435912533629274,3.89741798317216,4.63323164235506,0.487110993343487,0.575240661678922,0.75870663973191,0.967931046826211,12.0205362398055,42.0410724796109,59.2492795284642,2,"hierarchical"
"G4WM9iR3ErZ7APDvS",0.892326083110123,0.315504760009573,4.09000396169169,4.77447395253487,0.510239072758257,0.515233160428748,0.400381770218006,0.99,9.5972020915035,37.194404183007,54.4026112318603,2,"hierarchical"
"gBos5wbJNi362wqKs",2.00000374519878,0.439671828435198,4.80856075611546,3.68156228957959,0.586305129415976,0.50978956521441,0.653608741566024,0.622718206782959,8.11181578456273,34.2236315691255,51.4318386179788,2,"hierarchical"
"GCi8ZTfP7pjNh3ygF",1.98968309261602,0.394935510466905,4.29822274412366,4.44977976799228,0.594142888440825,0.519971374724908,0.849173444081743,0.920718683853607,11.648634686959,41.297269373918,58.5054764227713,2,"hierarchical"
"gDDqZ4APaFDnAPkBM",2.01685664979619,0.304055663601073,3.97627643385905,4.48494268621564,0.683212546054861,0.449374286658521,0.858599545869702,0.949206920262036,12.5346531148161,43.0693062296323,60.0956889126279,3,"hierarchical"
"GEwKu8fxgYxA2CE7x",0.01,0.388340697374432,4.44902681235442,4.36167240714534,0.569683685913521,0.520612613532523,0.891625190180686,0.960771418515842,14.9879089541502,47.9758179083004,65.002200591296,2,"hierarchical"
"ggHn6ddbqYBsqqpj7",1.52028924485796,0.116117777429623,3.64193702472045,4.69654673800888,0.569643796040041,0.504773381035681,0.873144995146212,0.935015025474034,13.2267105307002,44.4534210614003,61.2942301595713,2,"hierarchical"
"gpreusFXTLjCquosK",2.00066168818761,0.557368237936801,4.08131930951454,5.19271253383021,0.53953059683633,0.265732234195088,0.843941085859935,0.436883854416115,9.42026058122977,36.8405211624595,53.8669038454552,3,"hierarchical"
"GwdKonwx45xH4bGJo",1.77859984670854,0.413824410574218,4.6529270439436,4.70375732839345,0.651019492748378,0.504282176329303,0.928402376559951,0.983563717735816,13.5363844430756,45.0727688861511,62.2809759350044,2,"hierarchical"
"h633xXHHiPR8zvQez",1.38842137403547,0.287465208239282,4.22754434819313,4.66511066112784,0.597588779125128,0.548621509517964,0.949447718378334,0.965694572414072,13.8818503828923,45.7637007657845,62.7900834487802,3,"hierarchical"
"hFnRGnnbkqJCyPjhF",1.34868816170611,0.277088722776011,4.18846931664079,3.96127073910306,0.588261545488623,0.480501346033809,0.825380382423072,0.85428137989457,11.1987381261065,40.3974762522129,57.6056833010662,2,"hierarchical"
"hfnZYnFrK2htSh7Fq",1.9380222295749,0.514993298140989,4.46629224516004,3.34824191543028,0.530290575494822,0.445342570089743,0.777049897876832,0.55446233613832,7.71689086389393,33.4337817277879,50.4601644107835,3,"hierarchical"
"hh4qJjYdwZYPEHeH8",1.40658056102712,0.312537360158153,4.30866329945906,4.6068085412302,0.571483119820977,0.630640981702615,0.942043617073784,0.99,14.4058735341974,46.8117470683948,63.6525561665659,2,"hierarchical"
"hibiX8TGatbBx887A",0.137660087936249,0.283021794880269,4.73965820005053,4.36677408641591,0.600620188793242,0.639773953998294,0.99,0.976532297509776,16.2497706108958,50.4995412217916,67.7077482706449,3,"hierarchical"
"i37oYBN2MWCukq7eP",2.00232944990922,0.349279099359836,4.60673928111788,4.54609302917416,0.729878307099324,0.40627946001649,0.654557641810007,0.964324107811303,10.1188757923728,38.2377515847455,55.4459586335988,2,"hierarchical"
"i9c86bTZtwmiy2QrN",2.01505223117635,0.264723239600265,4.54884375145474,4.59736517913482,0.544613752632475,0.464988273269302,0.982772282092557,0.912768187610215,13.4138307789444,44.8276615578887,61.4789899732792,2,"hierarchical"
"ig8TppDhAgvNhrq3a",1.81576488548419,0.244554994892607,4.3128858106186,4.56297060378107,0.64058878184749,0.582686852484417,0.953154818021659,0.979757691103525,14.1376525330007,46.2753050660014,63.1161141641725,2,"hierarchical"
"iJQmXH2QMqKPp6wyu",1.52604698403057,0.299957533195979,4.48425264783554,4.61320515806081,0.532346230285215,0.591255332561645,0.955152089515325,0.93984312074944,13.3762395028378,44.7524790056755,61.403807421066,3,"hierarchical"
"inGrj4rs6YNvqvAPb",2.04680294544694,0.312921441079767,4.29037206177134,4.21039026483376,0.545049547488205,0.559859059752113,0.966673317876012,0.786370778023302,11.7874819880244,41.5749639760488,58.2262923914393,2,"hierarchical"
"ipDaioMcYw6HwWoxW",1.99014550161217,0.265069840081522,4.24639856268251,4.63745268881785,0.621126348300618,0.668984430159528,0.804424080843698,0.852542423747631,10.8027526334766,39.6055052669532,56.6318879499488,3,"hierarchical"
"iqQMMWSpQpuKtpqzp",2.0006842838538,0.378609517356727,4.65178206194323,4.65632465996715,0.538119277845273,0.526131629447462,0.935230018768411,0.951870460004471,12.7624696493687,43.5249392987375,59.7849017066703,3,"hierarchical"
"iTsSFZydAxMNk4H5X",1.90878384584637,0.505649181467126,4.50257362422918,4.35061573800914,0.618129050016552,0.508593324258684,0.898647212875372,0.919196478163542,12.3045175594525,42.609035118905,59.6354178019007,3,"hierarchical"
"ixhJYtMzcxshRLyCH",1.75141543167932,0.287119150330967,4.58268128716016,4.50157958962839,0.589200344682588,0.544019219283247,0.942349081203761,0.956038440871127,13.2443688242811,44.4887376485622,61.3295467467332,3,"hierarchical"
"iYTgW5T333CWcsfmh",1.95009822532175,0.377051260037211,4.41789086327175,4.63543727794138,0.50869801829913,0.414643596596134,0.907983624059038,0.937963409854247,12.6190465503352,43.2380931006703,60.264475783666,2,"hierarchical"
"iZfaFMuMSyvAddwBS",2.00613678156622,0.383361263790853,4.67082618301247,4.75246649141354,0.514748569239622,0.513985809785792,0.898722715054633,0.956465825548744,12.3181962162781,42.6363924325562,59.2877208479467,3,"hierarchical"
"jbpaPgCaMgYkRWEao",1.64352243171774,0.241531210249159,4.57958259331186,4.35757862379162,0.532960386300159,0.508393995989273,0.432076869039289,0.381674528165279,3.55355345239806,25.1071069047961,42.3153139536494,3,"hierarchical"
"jtCkRhCfghMB4pSKc",1.789560059885,0.233369124919713,4.42236334696051,4.11224171515833,0.528260520598444,0.537250510299867,0.926453194293001,0.873065340481778,12.2353216523288,42.4706433046576,58.7306057125905,2,"hierarchical"
"jtSCTzq2BSCnhLpJm",1.35354908384419,0.253249194621893,4.56285486016225,4.62646434528965,0.530083503579523,0.640707926662084,0.883530370131924,0.99,13.3837948204874,44.7675896409747,61.4189180563652,3,"hierarchical"
